AMER2	ENST00000515384.2_utr3_0_0_chr13_25161679_r	7925	-	Desmodus_rotundus	KZ672043.1	91432	99357	-
SPATA13	ENST00000382108.8_utr3_12_0_chr13_24302774_f	4296	+	Desmodus_rotundus	KZ672043.1	531280	535576	+
C1QTNF9B	ENST00000382137.7_utr3_2_0_chr13_23891099_r	190	-	Desmodus_rotundus	KZ672043.1	557323	557513	-
C1QTNF9	ENST00000332018.5_utr3_3_0_chr13_24321769_f	763	+	Desmodus_rotundus	KZ672043.1	557323	558086	+
CACNA1C	ENST00000399655.6_utr3_46_0_chr12_2691200_f	6751	+	Desmodus_rotundus	KZ672043.1	572634	579385	-
DCP1B	ENST00000280665.11_utr3_8_0_chr12_1946053_r	153	-	Desmodus_rotundus	KZ672043.1	1332380	1332533	-
LRTM2	ENST00000299194.6_utr3_4_0_chr12_1834722_f	2032	+	Desmodus_rotundus	KZ672043.1	1456009	1458041	-
ADIPOR2	ENST00000357103.5_utr3_7_0_chr12_1786073_f	2602	+	Desmodus_rotundus	KZ672043.1	1502511	1505113	-
ALG9	ENST00000616540.5_utr3_14_0_chr11_111782195_r	4202	-	Desmodus_rotundus	KZ672043.1	1572131	1576333	-
WNT5B	ENST00000397196.7_utr3_4_0_chr12_1646253_f	960	+	Desmodus_rotundus	KZ672043.1	1639314	1640274	-
ERC1	ENST00000360905.9_utr3_18_0_chr12_1490231_f	5701	+	Desmodus_rotundus	KZ672043.1	1803958	1809659	-
SDHAF3	ENST00000432641.3_utr3_1_0_chr7_97181216_f	548	+	Desmodus_rotundus	KZ672043.1	2391556	2392104	-
MAX	ENST00000358664.9_utr3_4_0_chr14_65075127_r	1349	-	Desmodus_rotundus	KZ672043.1	2852138	2853487	+
AKR1B1	ENST00000285930.9_utr3_9_0_chr7_134442356_r	372	-	Desmodus_rotundus	KZ672043.1	3071296	3071668	+
KDM5A	ENST00000399788.7_utr3_27_0_chr12_280057_r	5399	-	Desmodus_rotundus	KZ672043.1	3112056	3117455	-
SLC6A13	ENST00000343164.9_utr3_14_0_chr12_220622_r	326	-	Desmodus_rotundus	KZ672043.1	3191350	3191676	-
SLC6A12	ENST00000684302.1_utr3_15_0_chr12_190081_r	987	-	Desmodus_rotundus	KZ672043.1	3220403	3221390	-
IQSEC3	ENST00000538872.6_utr3_13_0_chr12_175034_f	3422	+	Desmodus_rotundus	KZ672043.1	3231264	3234686	-
WASHC1	ENST00000696149.1_utr3_10_0_chr9_14513_r	294	-	Desmodus_rotundus	KZ672043.1	3399033	3399327	-
DDX11	ENST00000542838.6_utr3_26_0_chr12_31103837_f	963	+	Desmodus_rotundus	KZ672043.1	3399322	3400285	-
FKBP4	ENST00000001008.6_utr3_9_0_chr12_2803259_f	2165	+	Desmodus_rotundus	KZ672043.1	3729280	3731445	+
ITFG2	ENST00000228799.7_utr3_11_0_chr12_2824194_f	883	+	Desmodus_rotundus	KZ672043.1	3749438	3750321	+
NRIP2	ENST00000337508.9_utr3_5_0_chr12_2825348_r	1859	-	Desmodus_rotundus	KZ672043.1	3750156	3752015	+
TEX52	ENST00000637658.2_utr3_2_0_chr12_2849046_r	185	-	Desmodus_rotundus	KZ672043.1	3770182	3770367	+
FOXM1	ENST00000359843.8_utr3_8_0_chr12_2857680_r	958	-	Desmodus_rotundus	KZ672043.1	3774985	3775943	+
RHNO1	ENST00000489288.7_utr3_2_0_chr12_2888460_f	1065	+	Desmodus_rotundus	KZ672043.1	3810816	3811881	+
P3H2	ENST00000319332.10_utr3_14_0_chr3_189956728_r	1184	-	Desmodus_rotundus	KZ672043.1	3850281	3851465	+
TULP3	ENST00000448120.7_utr3_10_0_chr12_2939445_f	1694	+	Desmodus_rotundus	KZ672043.1	3886176	3887870	+
TSPAN9	ENST00000011898.10_utr3_8_0_chr12_3283117_f	3443	+	Desmodus_rotundus	KZ672043.1	4201225	4204668	+
